GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,AMPWE001,AMPWE002,AMPWE003,AMPWE004,AMPWE005,AMPWE006,AMPWE007,AMPWE008,AMPWE009,AMPWE010,AMR8E001,AMVZE001,NAME_M,AMPWM001,AMPWM002,AMPWM003,AMPWM004,AMPWM005,AMPWM006,AMPWM007,AMPWM008,AMPWM009,AMPWM010,AMR8M001,AMVZM001
"G4201010035601","2016-2020","PA",,,"Pennsylvania","42","Philadelphia County","101",,,"035601",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101035601",,,"Census Tract 356.01, Philadelphia County, Pennsylvania",5221,3793,199,10,652,0,537,30,0,30,47616,884,"Census Tract 356.01, Philadelphia County, Pennsylvania",930,531,150,20,255,15,768,49,15,49,8247,169
"G4201010035602","2016-2020","PA",,,"Pennsylvania","42","Philadelphia County","101",,,"035602",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101035602",,,"Census Tract 356.02, Philadelphia County, Pennsylvania",3602,2578,45,0,912,10,14,43,9,34,87838,1218,"Census Tract 356.02, Philadelphia County, Pennsylvania",456,371,31,11,313,17,22,45,15,36,9982,198
"G4201010035701","2016-2020","PA",,,"Pennsylvania","42","Philadelphia County","101",,,"035701",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101035701",,,"Census Tract 357.01, Philadelphia County, Pennsylvania",4758,2636,200,0,1341,18,134,429,40,389,41182,1041,"Census Tract 357.01, Philadelphia County, Pennsylvania",539,420,205,11,379,28,125,265,66,252,10683,76
"G4201010035702","2016-2020","PA",,,"Pennsylvania","42","Philadelphia County","101",,,"035702",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101035702",,,"Census Tract 357.02, Philadelphia County, Pennsylvania",4330,3327,26,0,761,0,70,146,0,146,42101,1111,"Census Tract 357.02, Philadelphia County, Pennsylvania",705,689,28,11,340,11,118,166,11,166,16074,36
"G4201010035800","2016-2020","PA",,,"Pennsylvania","42","Philadelphia County","101",,,"035800",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101035800",,,"Census Tract 358, Philadelphia County, Pennsylvania",6652,4434,326,15,1323,0,239,315,136,179,62214,1266,"Census Tract 358, Philadelphia County, Pennsylvania",898,440,325,74,827,15,299,310,160,228,16897,192
"G4201010035900","2016-2020","PA",,,"Pennsylvania","42","Philadelphia County","101",,,"035900",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101035900",,,"Census Tract 359, Philadelphia County, Pennsylvania",5352,3617,104,40,1177,0,223,191,0,191,55287,743,"Census Tract 359, Philadelphia County, Pennsylvania",875,504,96,46,657,15,302,162,15,162,21450,597
"G4201010036000","2016-2020","PA",,,"Pennsylvania","42","Philadelphia County","101",,,"036000",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101036000",,,"Census Tract 360, Philadelphia County, Pennsylvania",3512,2135,411,11,757,0,17,181,40,141,58068,882,"Census Tract 360, Philadelphia County, Pennsylvania",463,431,163,18,232,11,23,147,64,104,17235,55
"G4201010036100","2016-2020","PA",,,"Pennsylvania","42","Philadelphia County","101",,,"036100",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101036100",,,"Census Tract 361, Philadelphia County, Pennsylvania",3978,2442,1284,0,122,0,87,43,20,23,60341,1347,"Census Tract 361, Philadelphia County, Pennsylvania",596,445,700,11,110,11,123,44,29,35,23769,67
"G4201010036201","2016-2020","PA",,,"Pennsylvania","42","Philadelphia County","101",,,"036201",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101036201",,,"Census Tract 362.01, Philadelphia County, Pennsylvania",5195,4539,244,0,0,0,45,367,215,152,62794,1181,"Census Tract 362.01, Philadelphia County, Pennsylvania",1518,1241,207,15,15,15,47,347,293,125,16572,75
"G4201010036202","2016-2020","PA",,,"Pennsylvania","42","Philadelphia County","101",,,"036202",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101036202",,,"Census Tract 362.02, Philadelphia County, Pennsylvania",6171,4981,378,0,574,0,238,0,0,0,77740,1274,"Census Tract 362.02, Philadelphia County, Pennsylvania",1062,838,197,15,728,15,248,15,15,15,16025,165
"G4201010036203","2016-2020","PA",,,"Pennsylvania","42","Philadelphia County","101",,,"036203",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101036203",,,"Census Tract 362.03, Philadelphia County, Pennsylvania",4827,4381,146,66,122,0,52,60,42,18,70441,812,"Census Tract 362.03, Philadelphia County, Pennsylvania",456,478,109,77,107,11,53,65,61,21,8031,113
"G4201010036301","2016-2020","PA",,,"Pennsylvania","42","Philadelphia County","101",,,"036301",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101036301",,,"Census Tract 363.01, Philadelphia County, Pennsylvania",4351,2986,57,12,1117,0,117,62,45,17,74074,1079,"Census Tract 363.01, Philadelphia County, Pennsylvania",797,337,57,21,717,11,121,59,50,31,24025,92
"G4201010036302","2016-2020","PA",,,"Pennsylvania","42","Philadelphia County","101",,,"036302",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101036302",,,"Census Tract 363.02, Philadelphia County, Pennsylvania",3607,2792,664,0,0,0,111,40,2,38,64238,1314,"Census Tract 363.02, Philadelphia County, Pennsylvania",592,548,245,11,11,11,94,62,6,61,13838,115
"G4201010036303","2016-2020","PA",,,"Pennsylvania","42","Philadelphia County","101",,,"036303",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101036303",,,"Census Tract 363.03, Philadelphia County, Pennsylvania",6609,6355,63,0,110,0,44,37,0,37,96081,1245,"Census Tract 363.03, Philadelphia County, Pennsylvania",1249,1261,96,15,120,15,68,61,15,61,19824,667
"G4201010036400","2016-2020","PA",,,"Pennsylvania","42","Philadelphia County","101",,,"036400",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101036400",,,"Census Tract 364, Philadelphia County, Pennsylvania",999,792,147,0,8,0,21,31,6,25,89792,,"Census Tract 364, Philadelphia County, Pennsylvania",226,194,84,11,11,11,41,47,14,44,41649,
"G4201010036501","2016-2020","PA",,,"Pennsylvania","42","Philadelphia County","101",,,"036501",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101036501",,,"Census Tract 365.01, Philadelphia County, Pennsylvania",4799,3824,538,5,292,0,56,84,30,54,59338,1136,"Census Tract 365.01, Philadelphia County, Pennsylvania",640,777,256,12,241,11,78,93,49,74,23256,47
"G4201010036502","2016-2020","PA",,,"Pennsylvania","42","Philadelphia County","101",,,"036502",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101036502",,,"Census Tract 365.02, Philadelphia County, Pennsylvania",4341,3765,6,0,173,0,190,207,191,16,82963,911,"Census Tract 365.02, Philadelphia County, Pennsylvania",709,617,13,11,114,11,204,228,229,19,29615,99
"G4201010036600","2016-2020","PA",,,"Pennsylvania","42","Philadelphia County","101",,,"036600",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101036600",,,"Census Tract 366, Philadelphia County, Pennsylvania",2132,1658,140,11,151,0,89,83,46,37,125807,2064,"Census Tract 366, Philadelphia County, Pennsylvania",351,300,167,21,101,11,120,63,49,45,10506,349
"G4201010036700","2016-2020","PA",,,"Pennsylvania","42","Philadelphia County","101",,,"036700",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101036700",,,"Census Tract 367, Philadelphia County, Pennsylvania",3121,2422,325,13,235,0,43,83,26,57,139514,2092,"Census Tract 367, Philadelphia County, Pennsylvania",570,495,172,23,188,11,49,58,42,39,19835,256
"G4201010036901","2016-2020","PA",,,"Pennsylvania","42","Philadelphia County","101",,,"036901",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101036901",,,"Census Tract 369.01, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0,0,0,,,"Census Tract 369.01, Philadelphia County, Pennsylvania",11,11,11,11,11,11,11,11,11,11,,
"G4201010036902","2016-2020","PA",,,"Pennsylvania","42","Philadelphia County","101",,,"036902",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101036902",,,"Census Tract 369.02, Philadelphia County, Pennsylvania",6034,3581,895,30,1283,0,52,193,32,161,26735,2266,"Census Tract 369.02, Philadelphia County, Pennsylvania",914,603,220,32,270,15,58,98,34,91,5135,185
