GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,JMBE001,JMBE002,JMBE003,JMBE004,JMBE005,JMBE006,JMBE007,JMBE008,JMBE009,JMBE010,JOIE001,JS5E001,NAME_M,JMBM001,JMBM002,JMBM003,JMBM004,JMBM005,JMBM006,JMBM007,JMBM008,JMBM009,JMBM010,JOIM001,JS5M001
"G4200790211205","2006-2010","PA",,,"Pennsylvania","42","Luzerne County","079",,,"211205",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42079211205",,,"Census Tract 2112.05, Luzerne County, Pennsylvania",2775,2760,0,0,15,0,0,0,0,0,49167,431,"Census Tract 2112.05, Luzerne County, Pennsylvania",337,339,109,109,24,109,109,109,109,109,13442,120
"G4200790211301","2006-2010","PA",,,"Pennsylvania","42","Luzerne County","079",,,"211301",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42079211301",,,"Census Tract 2113.01, Luzerne County, Pennsylvania",4581,3466,1069,0,31,0,7,8,8,0,72569,672,"Census Tract 2113.01, Luzerne County, Pennsylvania",23,151,147,109,47,109,12,13,13,109,16174,11
"G4200790211302","2006-2010","PA",,,"Pennsylvania","42","Luzerne County","079",,,"211302",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42079211302",,,"Census Tract 2113.02, Luzerne County, Pennsylvania",3472,3404,0,0,0,0,37,31,0,31,55488,763,"Census Tract 2113.02, Luzerne County, Pennsylvania",17,83,109,109,109,109,59,51,109,51,10355,177
"G4200790211303","2006-2010","PA",,,"Pennsylvania","42","Luzerne County","079",,,"211303",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42079211303",,,"Census Tract 2113.03, Luzerne County, Pennsylvania",2769,2671,0,0,61,0,11,26,0,26,55650,702,"Census Tract 2113.03, Luzerne County, Pennsylvania",18,79,109,109,76,109,16,28,109,28,9330,90
"G4200790211304","2006-2010","PA",,,"Pennsylvania","42","Luzerne County","079",,,"211304",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42079211304",,,"Census Tract 2113.04, Luzerne County, Pennsylvania",2052,2001,0,0,0,0,0,51,0,51,58646,678,"Census Tract 2113.04, Luzerne County, Pennsylvania",180,182,109,109,109,109,109,58,109,58,7128,163
"G4200790211400","2006-2010","PA",,,"Pennsylvania","42","Luzerne County","079",,,"211400",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42079211400",,,"Census Tract 2114, Luzerne County, Pennsylvania",6999,6929,28,0,0,0,13,29,29,0,61069,592,"Census Tract 2114, Luzerne County, Pennsylvania",24,82,32,109,109,109,21,46,46,109,10972,124
"G4200790211500","2006-2010","PA",,,"Pennsylvania","42","Luzerne County","079",,,"211500",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42079211500",,,"Census Tract 2115, Luzerne County, Pennsylvania",2735,2725,0,0,10,0,0,0,0,0,54861,694,"Census Tract 2115, Luzerne County, Pennsylvania",15,20,109,109,15,109,109,109,109,109,9475,297
"G4200790211600","2006-2010","PA",,,"Pennsylvania","42","Luzerne County","079",,,"211600",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42079211600",,,"Census Tract 2116, Luzerne County, Pennsylvania",3082,3005,0,54,23,0,0,0,0,0,40234,577,"Census Tract 2116, Luzerne County, Pennsylvania",21,89,109,80,39,109,109,109,109,109,9831,25
"G4200790211701","2006-2010","PA",,,"Pennsylvania","42","Luzerne County","079",,,"211701",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42079211701",,,"Census Tract 2117.01, Luzerne County, Pennsylvania",5141,5001,79,0,0,0,0,61,0,61,50849,765,"Census Tract 2117.01, Luzerne County, Pennsylvania",204,218,70,109,109,109,109,72,109,72,6912,263
"G4200790211702","2006-2010","PA",,,"Pennsylvania","42","Luzerne County","079",,,"211702",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42079211702",,,"Census Tract 2117.02, Luzerne County, Pennsylvania",1530,1423,0,0,81,0,13,13,0,13,67379,763,"Census Tract 2117.02, Luzerne County, Pennsylvania",90,91,109,109,52,109,10,13,109,13,3960,157
"G4200790211800","2006-2010","PA",,,"Pennsylvania","42","Luzerne County","079",,,"211800",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42079211800",,,"Census Tract 2118, Luzerne County, Pennsylvania",1750,1591,9,20,43,35,0,52,0,52,48611,1002,"Census Tract 2118, Luzerne County, Pennsylvania",256,247,15,31,31,55,109,52,109,52,17464,184
"G4200790211900","2006-2010","PA",,,"Pennsylvania","42","Luzerne County","079",,,"211900",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42079211900",,,"Census Tract 2119, Luzerne County, Pennsylvania",6496,6359,92,0,8,0,0,37,21,16,53737,684,"Census Tract 2119, Luzerne County, Pennsylvania",237,254,68,109,14,109,109,55,38,22,1967,44
"G4200790212000","2006-2010","PA",,,"Pennsylvania","42","Luzerne County","079",,,"212000",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42079212000",,,"Census Tract 2120, Luzerne County, Pennsylvania",1820,1798,0,0,15,0,0,7,0,7,33690,622,"Census Tract 2120, Luzerne County, Pennsylvania",160,157,109,109,22,109,109,12,109,12,9487,53
"G4200790212100","2006-2010","PA",,,"Pennsylvania","42","Luzerne County","079",,,"212100",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42079212100",,,"Census Tract 2121, Luzerne County, Pennsylvania",4255,4161,14,0,0,0,0,80,0,80,57400,685,"Census Tract 2121, Luzerne County, Pennsylvania",32,89,24,109,109,109,109,65,109,65,8164,113
"G4200790212200","2006-2010","PA",,,"Pennsylvania","42","Luzerne County","079",,,"212200",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42079212200",,,"Census Tract 2122, Luzerne County, Pennsylvania",5061,5048,0,0,13,0,0,0,0,0,49063,568,"Census Tract 2122, Luzerne County, Pennsylvania",23,29,109,109,21,109,109,109,109,109,5967,172
"G4200790212300","2006-2010","PA",,,"Pennsylvania","42","Luzerne County","079",,,"212300",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42079212300",,,"Census Tract 2123, Luzerne County, Pennsylvania",2853,2614,226,0,13,0,0,0,0,0,31339,539,"Census Tract 2123, Luzerne County, Pennsylvania",16,269,267,109,20,109,109,109,109,109,7590,33
